size,worst time,avg time,best time,worst ops,avg ops,best ops
10000,0.011726140975952148,0.011324644088745117,0.011159181594848633,65909,65792.6,65545
20000,0.02311420440673828,0.022982168197631835,0.022917985916137695,136834,136728.1,136621
30000,0.03546404838562012,0.035055899620056154,0.03475594520568848,210153,209806.9,209355
40000,0.04749608039855957,0.04738376140594482,0.04732704162597656,285538,285265.6,284942
50000,0.06046605110168457,0.06012041568756103,0.05994009971618652,362484,362272.4,361997
60000,0.07320904731750488,0.07284834384918212,0.07263302803039551,440853,440380.5,440100
70000,0.08591580390930176,0.08573446273803711,0.0855100154876709,519805,519465.4,519121
80000,0.09982013702392578,0.09901714324951172,0.09853410720825195,599174,598864.9,598489
90000,0.11256098747253418,0.1120333194732666,0.1118168830871582,678906,678699.1,678353
100000,0.13302111625671387,0.12598009109497071,0.12487077713012695,758913,758451.3,757917
110000,0.14233613014221191,0.13981776237487792,0.13759899139404297,839217,838793.7,838514
120000,0.15421271324157715,0.151918363571167,0.15068793296813965,919671,919093.2,918512
130000,0.16804790496826172,0.1655200242996216,0.1640181541442871,1001015,999709.8,999226
140000,0.1802382469177246,0.1786433219909668,0.17737698554992676,1080880,1080315,1079889
150000,0.1964421272277832,0.19392197132110595,0.19181203842163086,1162048,1161095.7,1160543
160000,0.20805001258850098,0.20621144771575928,0.2035079002380371,1242501,1241942.6,1241348
170000,0.2171320915222168,0.21655759811401368,0.2157588005065918,1323557,1322813,1322131
180000,0.23491215705871582,0.23297629356384278,0.23016691207885742,1404937,1404240.7,1403640
190000,0.24807024002075195,0.2444180965423584,0.24144721031188965,1486231,1485727.5,1485313
200000,0.26180577278137207,0.258020806312561,0.25556516647338867,1568140,1567713.5,1567280
210000,0.2790799140930176,0.27199113368988037,0.2687358856201172,1650481,1649485.2,1648552
220000,0.29106688499450684,0.28432276248931887,0.2810497283935547,1732680,1731564.8,1730878
230000,0.3057389259338379,0.3024004936218262,0.2997150421142578,1815168,1814225.9,1813419
240000,0.3207831382751465,0.31581926345825195,0.30863213539123535,1897709,1896974.8,1896382
250000,0.3339531421661377,0.32743961811065675,0.32204198837280273,1980384,1979702.2,1978721
260000,0.3459358215332031,0.3417633533477783,0.3354330062866211,2063499,2063055.7,2061860
270000,0.35898804664611816,0.35601794719696045,0.34930992126464844,2147346,2146276.9,2145308
280000,0.37379002571105957,0.36942176818847655,0.3641488552093506,2231131,2230085.3,2229399
290000,0.3954751491546631,0.38382294178009035,0.3790109157562256,2314975,2313896,2312948
300000,0.4094400405883789,0.4017122983932495,0.3984360694885254,2399158,2398448.8,2397975
310000,0.41469788551330566,0.4134301424026489,0.4120450019836426,2483355,2482729.4,2481739
320000,0.43706321716308594,0.42966039180755616,0.42655491828918457,2568126,2567175.9,2566249
330000,0.4454491138458252,0.4440207004547119,0.4422171115875244,2652790,2652174.4,2650876
340000,0.4685180187225342,0.4597763538360596,0.4551560878753662,2739011,2737537.3,2736460
350000,0.4814579486846924,0.47345407009124757,0.4698011875152588,2823677,2822562.9,2820902
360000,0.4953269958496094,0.4874251842498779,0.48402976989746094,2909740,2908230.3,2906917
370000,0.5061991214752197,0.5020857095718384,0.499553918838501,2994480,2993677.3,2993013
380000,0.9413571357727051,0.5613246440887452,0.5156009197235107,3080821,3079627.5,3079010
390000,0.6032171249389648,0.5405664205551147,0.5288958549499512,3167610,3165476.1,3164213
400000,0.5515482425689697,0.5457414150238037,0.54146409034729,3252823,3252014.1,3251197
410000,0.5644741058349609,0.5610604763031006,0.5593569278717041,3339746,3338109.6,3337092
420000,0.5897989273071289,0.5789624452590942,0.572627067565918,3426027,3424726.7,3424006
430000,0.5965447425842285,0.5903490781784058,0.5881538391113281,3513001,3511713.1,3510323
440000,0.6075742244720459,0.6049200296401978,0.6028931140899658,3599818,3598501.5,3596762
450000,0.6267130374908447,0.6200289487838745,0.6159281730651855,3686353,3684791.9,3683710
460000,0.6416120529174805,0.6361963987350464,0.6333088874816895,3773689,3772563,3771706
470000,0.6573231220245361,0.650937271118164,0.6467368602752686,3860745,3859748.2,3858953
480000,0.6699709892272949,0.6654158592224121,0.6618819236755371,3947910,3947276.9,3945990
490000,0.7003903388977051,0.6826377868652344,0.6769940853118896,4035422,4034552.6,4033746
500000,0.702977180480957,0.6957017421722412,0.6847670078277588,4123431,4122419.2,4121784
510000,0.7208271026611328,0.7141040802001953,0.7086071968078613,4211712,4210626,4209463
520000,0.7385590076446533,0.7344451189041138,0.7309627532958984,4299071,4298136.6,4297439
530000,0.783390998840332,0.7508922338485717,0.73948073387146,4386677,4385833.6,4384546
540000,0.7634289264678955,0.757045578956604,0.7517921924591064,4474783,4474257.8,4472824
550000,0.7903461456298828,0.7734589099884033,0.7669401168823242,4563171,4562140.9,4561046
